product_id,product_name,category,bom_type,component_name,unit,quantity_per_unit,cost_per_unit,notes
15,Home Glass Door,Decorative Glass Door,Toughened Glass,Float Glass,sqft,1.0,0,Raw glass
15,Home Glass Door,Decorative Glass Door,Toughened Glass,Labor - Cutting,hrs,0,0,Cutting time
15,Home Glass Door,Decorative Glass Door,Toughened Glass,Labor - Edging,hrs,0,0,Edge polishing
15,Home Glass Door,Decorative Glass Door,Toughened Glass,Electricity - Tempering,unit,1.0,0,Furnace processing
18,Shower Glass Door,Decorative Glass Door,Toughened Glass,Float Glass,sqft,1.0,0,Raw glass
18,Shower Glass Door,Decorative Glass Door,Toughened Glass,Labor - Cutting,hrs,0,0,Cutting time
18,Shower Glass Door,Decorative Glass Door,Toughened Glass,Labor - Edging,hrs,0,0,Edge polishing
18,Shower Glass Door,Decorative Glass Door,Toughened Glass,Electricity - Tempering,unit,1.0,0,Furnace processing
16,Toughened Glass Door,Decorative Glass Door,Toughened Glass,Float Glass,sqft,1.0,0,Raw glass
16,Toughened Glass Door,Decorative Glass Door,Toughened Glass,Labor - Cutting,hrs,0,0,Cutting time
16,Toughened Glass Door,Decorative Glass Door,Toughened Glass,Labor - Edging,hrs,0,0,Edge polishing
16,Toughened Glass Door,Decorative Glass Door,Toughened Glass,Electricity - Tempering,unit,1.0,0,Furnace processing
13,10mm Frosted Glass,Etched Glass,Etched/Frosted Glass,Float Glass,sqft,1.0,0,Raw glass
13,10mm Frosted Glass,Etched Glass,Etched/Frosted Glass,Acid/Sandblasting Material,sqft,1.0,0,Processing material
13,10mm Frosted Glass,Etched Glass,Etched/Frosted Glass,Labor - Etching,hrs,0,0,Processing time
13,10mm Frosted Glass,Etched Glass,Etched/Frosted Glass,Electricity - Tempering,unit,1.0,0,If toughened
12,Acid Etched Glass,Etched Glass,Etched/Frosted Glass,Float Glass,sqft,1.0,0,Raw glass
12,Acid Etched Glass,Etched Glass,Etched/Frosted Glass,Acid/Sandblasting Material,sqft,1.0,0,Processing material
12,Acid Etched Glass,Etched Glass,Etched/Frosted Glass,Labor - Etching,hrs,0,0,Processing time
12,Acid Etched Glass,Etched Glass,Etched/Frosted Glass,Electricity - Tempering,unit,1.0,0,If toughened
14,Designed Etched Glass,Etched Glass,Etched/Frosted Glass,Float Glass,sqft,1.0,0,Raw glass
14,Designed Etched Glass,Etched Glass,Etched/Frosted Glass,Acid/Sandblasting Material,sqft,1.0,0,Processing material
14,Designed Etched Glass,Etched Glass,Etched/Frosted Glass,Labor - Etching,hrs,0,0,Processing time
14,Designed Etched Glass,Etched Glass,Etched/Frosted Glass,Electricity - Tempering,unit,1.0,0,If toughened
11,Sandblasted Etched Glass,Etched Glass,Etched/Frosted Glass,Float Glass,sqft,1.0,0,Raw glass
11,Sandblasted Etched Glass,Etched Glass,Etched/Frosted Glass,Acid/Sandblasting Material,sqft,1.0,0,Processing material
11,Sandblasted Etched Glass,Etched Glass,Etched/Frosted Glass,Labor - Etching,hrs,0,0,Processing time
11,Sandblasted Etched Glass,Etched Glass,Etched/Frosted Glass,Electricity - Tempering,unit,1.0,0,If toughened
10,Clear Float Glass,Float Glass,Toughened Glass,Float Glass,sqft,1.0,0,Raw glass
10,Clear Float Glass,Float Glass,Toughened Glass,Labor - Cutting,hrs,0,0,Cutting time
10,Clear Float Glass,Float Glass,Toughened Glass,Labor - Edging,hrs,0,0,Edge polishing
10,Clear Float Glass,Float Glass,Toughened Glass,Electricity - Tempering,unit,1.0,0,Furnace processing
42,8mm Black Fluted Glass,Fluted Glass,Toughened Glass,Float Glass,sqft,1.0,0,Raw glass
42,8mm Black Fluted Glass,Fluted Glass,Toughened Glass,Labor - Cutting,hrs,0,0,Cutting time
42,8mm Black Fluted Glass,Fluted Glass,Toughened Glass,Labor - Edging,hrs,0,0,Edge polishing
42,8mm Black Fluted Glass,Fluted Glass,Toughened Glass,Electricity - Tempering,unit,1.0,0,Furnace processing
41,Fluted Glass,Fluted Glass,Toughened Glass,Float Glass,sqft,1.0,0,Raw glass
41,Fluted Glass,Fluted Glass,Toughened Glass,Labor - Cutting,hrs,0,0,Cutting time
41,Fluted Glass,Fluted Glass,Toughened Glass,Labor - Edging,hrs,0,0,Edge polishing
